# $Id: msgs.txt 1.12 1994/03/04 15:52:55 jrd Exp $
# Messages database
# Simply use '\' to "escape" the eol
###################################

# global messages 0-99
# do not translate messages 26-28
###################################
1	OK
1645 * Endzeit: %s
1646 *** sgmlcheck: Einheit '%s' kann nicht aufgelöst werden.
1647 *** Unbekannter Token-Typ %d ('%s'), Token ist '%s'
 
1648     EBT-IDs: alt %8s, neu %8s;  Hilfsdaten:  '%s'
1649 * '%s' beendet, %ld Elemente.

1650    ****************************************
1651    -unendlich-
1652    Dokumenteinheitsgröße
1653    Bytes analysiert
1654    Bytes in Attributen
1655    Bytes in CDATA
1656    Gesamtanzahl der Elemente
1657    Gesamtanzahl der Attribute
1658    Mind. CDATA % o%%f insgesamt
1659    Textzeichen pro Element
1660    Durchschnittliche CDATA-Länge
1661    Durchschnittliche Etikettiefe
1662    Maximale Etikettiefe
1663    Verstrichene Zeit
1664    Analysierte Bytes pro Sekunde
1665    Elemente mit folgender Häufigkeit gefunden:
1666    Dateneinheiten mit folgender Häufigkeit gefunden:
1667    Attribute mit folgender Häufigkeit gefunden:
