# $Id: msgs.txt 1.12 1994/03/04 15:52:55 jrd Exp $
# Messages database
# Simply use '\' to "escape" the eol
###################################

# global messages 0-99
# do not translate messages 26-28
###################################
1	OK
1628 *** Impossible d'ouvrir DTD à partir de '%s'.
1629 * Lecture de DTD à partir du fichier '%s'.
 
1630 Aucun document d'entrée indiqué.
1632 *** Impossible d'ouvrir l'analyseur.
1635 * La création du répertoire de sortie '%s' a abouti.
1636 *** Impossible de créer le répertoire de sortie '%s'.
1638 *** Impossible d'ouvrir le document '%s'.
1639 Niveau maximal d'imbrication des étiquettes dépassé.
 
1640    Emplacement : ligne %ld, élément %ld.
1641 AVERTISSEMENT : trop d'étiquettes de fin, rien n'est ouvert.
1642 Au niveau de l'élément %8ld, ligne %9ld dans l'entité '%s'
1643 * Impossible de configurer l'analyseur SGML.
1644 * Heure de début : %s
1645 * Heure de fin : %s
1646 *** sgmlcheck : impossible de résoudre l'entité '%s'.
1647 *** Type de jeton %d ('%s') inconnu, le jeton est '%s'
 
1648     id EBT : ancien %8s, nouveau %8s ; données annexes : '%s'
1649 *  '%s' terminé, %ld éléments.

1650    ****************************************
1651    -infini-
1652    Taille de l'entité document
1653    Octets analysés
1654    Octets dans les attributs
1655    Octets dans CDATA
1656    Nombre total d'éléments
1657    Nombre total d'attributs
1658    Total CDATA % of min
1659    Nombre de caractères textuels par élément
1660    Longueur CDATA moyenne
1661    Hauteur moyenne de l'étiquette
1662    Hauteur maximale de l'étiquette
1663    Temps écoulé
1664    Octets analysés par seconde
1665    Eléments détectés, avec fréquences :
1666    Entités de données détectées, avec fréquences :
1667    Attributs détectés, avec fréquences :
